Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
896,3741,403,97,33,9999,0,142,0,4331,3,2,1382,441,1353,1,1,74,72,46,0,39,42,58,0,1440,1584,1110,1223,0,16,40,35,27,14,9,16,13,9,18,9999,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,3744,403,97,33,9999,0,181,0,4331,3,2,1382,441,1353,1,1,73,72,48,0,73,0,24,0,1440,1584,1113,1165,0,9,40,42,34,14,9,9,5,9,18,9999,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896,3743,403,97,33,9999,0,187,0,4331,2,2,1171,441,1353,1,1,73,72,48,0,73,0,94,0,1440,1584,1117,1164,0,13,31,45,56,66,5,13,0,9,18,9999,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3897,3670,403,97,33,9999,0,204,0,4331,2,2,1382,441,2000,1,1,60,72,47,0,73,0,88,0,1440,1584,2409,1146,0,45,55,41,88,25,42,11,45,5,18,9999,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4897,3669,403,97,33,9999,0,346,0,4331,3,2,1382,441,1555,1,1,73,72,48,0,61,13,27,0,1440,1584,2335,1153,0,75,38,33,19,36,26,42,75,9,27,9999,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5896,3619,403,97,33,9999,0,329,0,4331,3,2,1478,441,1353,1,1,73,72,48,0,61,13,27,0,1440,1584,2335,1153,0,75,38,33,19,36,26,42,75,9,27,9999,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6896,3605,403,97,33,9999,0,272,0,4331,4,2,1478,441,1353,1,1,66,72,47,0,39,34,33,0,1440,1584,2277,1147,0,50,33,38,27,23,10,50,47,5,26,9999,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7897,3596,403,97,33,9999,0,310,0,4331,4,2,1478,441,1555,1,1,66,72,47,0,70,3,10,0,1440,1584,2275,1154,0,26,38,39,21,33,10,26,18,9,26,9999,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8897,3595,403,97,33,9999,0,325,0,4317,4,2,1478,441,1555,1,1,73,72,48,0,73,0,8,0,1440,1584,2293,1150,0,76,43,26,27,26,10,76,27,5,26,9999,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9897,3547,403,97,33,9999,0,400,0,4317,4,2,1478,441,1353,1,1,72,72,48,0,70,1,9,0,1440,1584,4981,1167,0,18,35,39,33,30,18,9,5,5,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10898,3543,403,97,33,9999,0,457,0,4317,4,2,1382,441,1555,1,1,73,72,47,0,73,0,3,0,1440,1584,5026,1162,0,14,54,50,47,59,10,14,14,9,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11897,3543,403,97,33,9999,0,362,0,4317,3,2,1382,441,1555,1,1,73,72,48,0,73,0,6,0,1440,1584,5039,1166,0,19,36,36,19,34,19,19,13,4,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12898,3543,403,97,33,9999,0,328,0,4317,3,2,1171,441,1353,1,1,73,72,48,0,73,0,6,0,1440,1584,5050,1168,0,14,43,40,15,27,10,10,14,9,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13897,3542,403,97,33,9999,0,418,0,4317,2,2,1171,441,1555,1,1,72,72,48,0,73,0,3,0,1440,1584,5045,1161,0,21,12,45,30,11,21,14,19,9,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14897,3543,403,97,33,9999,0,416,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,11,0,1440,1584,5030,1163,0,21,35,25,0,10,10,10,21,5,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15897,3544,403,97,33,9999,0,425,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,2,0,1440,1584,5016,1164,0,19,38,52,10,15,19,19,10,9,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16898,3544,403,97,33,9999,0,427,0,4309,2,2,1171,441,1353,1,1,73,72,48,0,72,0,5,0,1440,1584,4959,1164,0,22,27,22,40,5,19,22,9,9,46,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17898,3545,403,97,33,9999,0,429,0,4309,2,2,1171,441,1353,1,1,73,72,48,0,73,0,22,0,1440,1584,4767,1165,0,26,38,28,31,0,5,15,26,5,44,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18898,3545,403,97,33,9999,0,429,0,4309,2,2,1171,441,1353,1,1,73,72,48,0,73,0,156,0,1440,1584,4608,1166,0,19,27,21,19,5,19,10,14,5,43,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20014,3543,623,97,33,9999,0,413,0,4309,2,2,1171,441,1353,1,1,73,72,48,0,73,0,160,0,1440,1584,4854,1168,0,19,17,35,5,5,19,5,14,5,45,9999,363,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20898,3542,623,97,33,9999,0,402,0,4309,2,2,1171,441,1353,1,1,73,72,48,0,73,0,43,0,1440,1584,4784,1166,0,22,31,30,26,25,22,10,5,9,44,9999,363,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21898,3542,623,97,33,9999,0,428,0,4309,2,2,1171,441,1353,1,1,73,72,48,0,73,0,28,0,1440,1584,5109,1166,0,14,33,17,11,21,5,14,5,9,47,9999,363,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22898,3541,623,97,33,9999,0,433,0,4309,2,2,1171,441,1555,1,1,73,72,48,0,73,0,52,0,1440,1584,5171,1167,0,26,26,28,19,15,26,14,0,5,47,9999,363,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23898,3543,623,97,33,9999,0,424,0,4309,2,2,1171,441,1555,1,1,73,72,48,0,73,0,8,0,1440,1584,5200,1164,0,19,39,22,5,22,14,19,10,5,47,9999,363,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24898,3488,623,97,33,9999,0,479,0,4308,3,2,1382,441,2000,1,1,73,72,48,0,60,12,3,0,1440,1584,5197,1168,0,78,31,35,35,22,26,78,13,14,8,9999,416,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25898,3483,623,97,33,9999,0,457,0,4308,3,2,1382,441,1353,1,1,51,72,47,0,63,11,4,0,1440,1584,5095,1167,0,29,35,35,30,19,19,29,14,13,47,9999,416,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26899,3482,623,97,33,9999,0,406,0,4308,3,2,1382,441,1555,1,1,72,72,48,0,71,2,22,0,1440,1584,4729,1167,0,14,35,31,11,14,10,14,14,9,44,9999,417,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27898,3483,623,97,33,9999,0,410,0,4308,2,2,1171,441,2000,1,1,73,72,48,0,73,0,77,0,1440,1584,4853,1162,0,47,47,33,22,15,39,47,30,9,45,9999,417,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28898,3483,623,97,33,9999,0,419,0,4308,2,2,1171,441,1353,1,1,73,72,48,0,73,0,16,0,1440,1584,4948,1166,0,27,35,27,21,15,10,27,10,0,45,9999,417,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29898,3482,623,97,33,9999,0,407,0,4308,2,2,1171,441,1353,1,1,73,72,48,0,73,0,15,0,1440,1584,4881,1168,0,14,12,22,30,14,5,14,14,9,45,9999,418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30898,3483,623,97,33,9999,0,291,0,4308,2,2,1171,441,1353,1,1,73,72,48,0,73,0,7,0,1440,1584,4935,1166,0,26,38,16,21,14,5,14,26,13,45,9999,418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31898,3482,623,97,33,9999,0,299,0,4308,2,2,1171,441,1353,1,1,72,72,48,0,73,0,4,0,1440,1584,4931,1163,0,19,35,30,23,14,10,10,19,0,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32899,3482,623,97,33,9999,0,298,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,2,0,1440,1584,4926,1165,0,14,27,25,15,14,14,10,10,5,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33899,3483,623,97,33,9999,0,325,0,4317,2,2,1171,441,1353,1,1,72,72,48,0,73,0,2,0,1440,1584,4921,1165,0,22,36,38,31,25,22,10,14,5,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34899,3481,623,97,33,9999,0,283,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,1,0,1440,1584,4931,1159,0,22,40,25,21,5,10,10,22,0,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35899,3479,623,97,33,9999,0,351,0,4317,2,2,1171,441,1555,1,1,73,72,48,0,72,0,1,0,1440,1584,4927,1160,0,28,44,39,33,42,21,21,28,14,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36899,3480,623,97,33,9999,0,301,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,4,0,1440,1584,4897,1164,0,21,33,23,25,5,10,21,10,5,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37900,3479,623,97,33,9999,0,313,0,4317,2,2,1171,441,1555,1,1,73,72,48,0,72,0,13,0,1440,1584,4969,1161,0,23,33,26,18,34,10,14,23,9,46,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38899,3479,623,97,33,9999,0,287,0,4317,2,2,1171,441,1555,1,1,73,72,48,0,73,0,4,0,1440,1584,4952,1166,0,14,35,12,16,14,14,5,10,9,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40016,3479,685,97,33,9999,0,313,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,9,0,1440,1584,4927,1163,0,18,33,42,19,11,0,18,14,13,45,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40899,3479,685,97,33,9999,0,294,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,23,0,1440,1584,4992,1167,0,19,22,31,15,14,5,19,19,9,46,9999,418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41900,3478,685,97,33,9999,0,291,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,32,0,1440,1584,5293,1168,0,22,12,30,15,23,10,5,22,9,48,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42899,3479,685,97,33,9999,0,375,0,4317,2,2,1171,441,1555,1,1,73,72,48,0,73,0,4,0,1440,1584,5311,1165,0,34,39,35,26,28,31,34,23,0,48,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43900,3475,685,97,33,9999,0,345,0,4317,2,2,1171,441,1555,1,1,73,72,48,0,73,0,4,0,1440,1584,5311,1165,0,34,39,35,26,28,31,34,23,0,48,9999,420,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44899,3567,685,97,33,9999,0,234,0,4317,2,2,1171,441,1804,1,1,73,72,48,0,73,0,4,0,1440,1584,5311,1165,0,34,39,35,26,28,31,34,23,0,48,9999,433,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45900,3561,685,97,33,9999,0,206,0,4317,2,2,1171,441,1353,1,1,73,72,48,0,73,0,4,0,1440,1584,5311,1165,0,34,39,35,26,28,31,34,23,0,48,9999,433,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46900,3525,685,97,33,9999,0,200,0,4317,2,2,1171,441,1555,1,1,73,72,48,0,73,0,4,0,1440,1584,5311,1165,0,34,39,35,26,28,31,34,23,0,48,9999,449,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47902,3508,685,97,33,9999,0,410,0,4317,3,2,1478,441,1555,1,1,27,72,48,0,0,73,1,0,1440,1584,5264,1165,0,81,35,30,33,11,80,42,81,5,26,9999,506,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48900,3530,685,97,33,9999,0,422,0,4317,4,2,1478,441,2000,1,1,39,72,43,0,21,52,5,0,1440,1584,5278,1169,0,68,38,17,27,5,60,35,68,5,27,9999,560,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49900,3498,685,97,33,9999,0,192,0,4308,4,2,1478,441,1353,1,1,39,72,43,0,21,52,5,0,1440,1584,5278,1169,0,68,38,17,27,5,60,35,68,5,27,9999,676,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50900,3369,685,97,33,9999,0,268,0,4308,4,2,1478,441,1353,1,1,5,72,20,0,2,71,7,0,1440,1584,5169,1166,0,60,30,30,19,19,4,47,60,9,21,9999,714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51900,3211,685,97,33,9999,0,121,0,4308,4,2,1478,441,2000,1,1,18,72,33,0,7,59,10,0,1440,1584,5266,1169,0,100,26,30,21,19,0,0,100,5,8,9999,809,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
