Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
888,3713,412,99,30,9999,0,68,0,4317,3,2,1382,441,1353,0,1,1,72,0,0,40,41,0,0,0,0,1099,1221,0,14,54,50,22,31,5,9,14,9,18,9999,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,3715,412,99,30,9999,0,54,0,4317,3,2,1171,441,1353,1,1,74,72,46,0,73,0,107,0,1440,1584,1099,1162,0,9,43,30,15,21,9,5,5,4,18,9999,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888,3712,412,99,30,9999,0,95,0,4358,2,2,1171,441,1353,1,1,73,72,48,0,73,0,54,0,1440,1584,1106,1163,0,14,57,50,50,52,14,5,10,9,18,9999,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3888,3657,412,99,30,9999,0,0,0,4358,2,2,1171,441,2000,1,1,72,72,48,0,73,0,65,0,1440,1584,1066,1156,0,42,42,63,68,34,42,9,15,5,11,9999,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4888,3658,412,99,30,9999,0,140,0,4358,2,2,1171,441,1353,1,1,57,72,47,0,57,16,62,0,1440,1584,2933,1155,0,76,36,33,33,23,38,38,76,9,31,9999,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5889,3621,412,99,30,9999,0,46,0,4358,4,2,1478,441,2000,1,1,73,72,48,0,73,1,54,0,1440,1584,2921,1158,0,31,47,48,41,46,16,31,11,9,22,9999,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6888,3602,412,99,30,9999,0,172,0,4358,4,2,1478,441,1353,1,1,66,72,47,0,40,31,15,0,1440,1584,2986,1158,0,27,57,39,54,42,14,21,27,13,25,9999,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7890,3592,412,99,30,9999,0,354,0,4358,4,2,1478,441,1353,1,1,46,72,46,0,65,8,88,0,1440,1584,3053,1155,0,23,27,17,28,16,23,14,10,5,32,9999,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,3543,412,99,30,9999,0,205,0,4358,4,2,1478,441,2000,1,1,71,72,48,0,73,0,74,0,1440,1584,3008,1151,0,39,30,12,30,11,39,23,14,9,31,9999,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9888,3542,412,99,30,9999,0,271,0,4358,3,2,1382,441,1353,1,1,72,72,48,0,70,1,45,0,1440,1584,6079,1162,0,14,33,21,25,14,14,14,10,5,54,9999,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10888,3541,412,99,30,9999,0,262,0,4345,3,2,1382,441,1353,1,1,73,72,47,0,73,0,34,0,1440,1584,6107,1163,0,18,27,26,31,19,10,10,18,5,54,9999,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11889,3540,412,99,30,9999,0,246,0,4345,2,2,1171,441,1555,1,1,73,72,48,0,73,0,12,0,1440,1584,6124,1162,0,26,12,28,21,30,10,26,14,13,54,9999,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12889,3540,412,99,30,9999,0,226,0,4345,2,2,1171,441,1555,1,1,72,72,48,0,73,0,8,0,1440,1584,6095,1163,0,14,28,27,23,14,14,14,14,5,54,9999,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13889,3542,412,99,30,9999,0,389,0,4345,2,2,1171,441,1555,1,1,73,72,48,0,73,0,4,0,1440,1584,6200,1159,0,22,33,21,15,15,14,22,14,0,54,9999,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14889,3542,412,99,30,9999,0,367,0,4345,2,2,1171,441,1555,1,1,73,72,48,0,72,1,11,0,1440,1584,6376,1165,0,15,31,22,23,19,10,15,14,9,56,9999,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15889,3488,412,99,30,9999,0,367,0,4345,3,2,1382,441,2000,1,1,72,72,48,0,61,11,30,0,1440,1584,6162,1159,0,77,33,27,31,14,19,77,16,9,21,9999,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16890,3482,412,99,30,9999,0,364,0,4345,3,2,1382,441,1353,1,1,50,72,47,0,62,12,42,0,1440,1584,5826,1161,0,19,16,27,19,18,19,19,14,13,52,9999,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17889,3480,412,99,30,9999,0,273,0,4345,3,2,1382,441,1555,1,1,73,72,48,0,72,0,68,0,1440,1584,5796,1156,0,35,29,22,39,11,33,35,19,4,47,9999,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18889,3480,412,99,30,9999,0,222,0,4338,2,2,1171,441,1555,1,1,72,72,48,0,71,2,71,0,1440,1584,5930,1164,0,23,23,40,35,19,0,19,23,5,52,9999,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20044,3479,660,99,30,9999,0,257,0,4338,2,2,1171,441,1555,1,1,72,72,48,0,73,0,50,0,1440,1584,6728,1160,0,19,41,38,21,15,10,19,15,9,58,9999,484,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20889,3480,660,99,30,9999,0,226,0,4338,2,2,1171,441,1555,1,1,73,72,48,0,71,0,105,0,1440,1584,6046,1162,0,40,31,16,25,15,40,31,15,9,53,9999,484,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21889,3470,660,99,30,9999,0,70,0,4338,2,2,1171,441,1555,1,1,73,72,48,0,71,0,105,0,1440,1584,6046,1162,0,40,31,16,25,15,40,31,15,9,53,9999,484,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22889,3571,660,99,30,9999,0,95,0,4338,2,2,1171,441,1353,1,1,73,72,48,0,71,0,105,0,1440,1584,6046,1162,0,40,31,16,25,15,40,31,15,9,53,9999,492,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23889,3559,660,99,30,9999,0,79,0,4338,2,2,1171,441,1353,1,1,73,72,48,0,71,0,105,0,1440,1584,6046,1162,0,40,31,16,25,15,40,31,15,9,53,9999,492,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
