Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
886,3501,716,96,35,9999,0,63,0,4279,3,2,1382,441,1353,1,1,66,72,46,0,59,13,142,0,1440,1584,831,1190,0,18,18,40,27,39,5,18,0,5,16,9999,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,3503,716,96,35,9999,0,45,0,4279,3,2,1382,441,1353,1,1,73,72,48,0,73,0,80,0,1440,1584,835,1161,0,10,43,31,19,22,9,9,10,0,16,9999,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2887,3500,716,96,35,9999,0,84,0,4279,2,2,1171,441,1353,1,1,73,72,48,0,73,0,34,0,1440,1584,842,1159,0,14,59,21,80,25,10,10,14,5,16,9999,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3886,3446,716,96,35,9999,0,114,0,4319,3,2,1382,441,2000,1,1,56,72,48,0,57,15,61,0,1440,1584,3214,1153,0,69,38,45,56,63,35,69,15,9,31,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4887,3445,716,96,35,9999,0,251,0,4319,4,2,1478,441,1353,1,1,74,72,47,0,72,2,37,0,1440,1584,3364,1152,0,90,27,41,19,22,90,25,28,9,34,9999,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5887,3565,716,96,35,9999,0,400,0,4319,4,2,1478,441,1353,1,1,74,72,47,0,72,2,37,0,1440,1584,3364,1152,0,90,27,41,19,22,90,25,28,9,34,9999,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6887,3552,716,96,35,9999,0,365,0,4319,4,2,1478,441,1804,1,1,44,72,46,0,42,31,43,0,1440,1584,3307,1156,0,60,38,39,27,5,25,39,60,10,33,9999,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7887,3566,716,96,35,9999,0,351,0,4319,4,2,1478,441,1353,1,1,71,72,48,0,70,3,30,0,1440,1584,3351,1151,0,27,35,41,16,16,19,10,27,0,34,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8887,3492,716,96,35,9999,0,315,0,4319,4,2,1478,441,2000,1,1,70,72,47,0,70,2,24,0,1440,1584,3648,1159,0,36,26,48,30,5,10,36,25,9,36,9999,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9887,3494,716,96,35,9999,0,395,0,4319,4,2,1478,441,1353,1,1,73,72,48,0,69,5,66,0,1440,1584,6230,1154,0,18,30,50,22,19,14,18,15,5,54,9999,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10887,3495,716,96,35,9999,0,330,0,4319,3,2,1382,441,1353,1,1,73,72,48,0,73,0,66,0,1440,1584,6172,1158,0,22,39,33,30,15,22,0,22,5,54,9999,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11887,3493,716,96,35,9999,0,344,0,4301,3,2,1382,441,1353,1,1,73,72,48,0,73,0,17,0,1440,1584,6212,1158,0,14,45,36,19,14,5,10,14,5,55,9999,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12887,3495,716,96,35,9999,0,352,0,4301,2,2,1171,441,1353,1,1,73,72,48,0,72,0,253,0,1440,1584,5907,1157,0,22,39,39,30,30,10,14,22,9,51,9999,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13887,3495,716,96,35,9999,0,346,0,4301,2,2,1171,441,1353,1,1,73,72,48,0,73,0,298,0,1440,1584,6169,1155,0,14,36,30,31,26,10,5,14,9,55,9999,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14889,3433,716,96,35,9999,0,486,0,4301,2,2,1171,441,2000,1,1,58,72,48,0,61,11,23,0,1440,1584,6278,1170,0,81,47,36,15,23,19,81,28,10,9,9999,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15887,3438,716,96,35,9999,0,509,0,4301,4,2,1478,441,1353,1,1,58,72,48,0,58,16,23,0,1440,1584,6136,1157,0,23,31,28,31,26,22,10,23,5,53,9999,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16887,3439,716,96,35,9999,0,416,0,4301,4,2,1478,441,1353,1,1,70,72,48,0,71,2,38,0,1440,1584,6081,1157,0,23,42,37,23,22,15,22,23,9,50,9999,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17887,3434,716,96,35,9999,0,466,0,4301,3,2,1382,441,1804,1,1,72,72,48,0,73,0,30,0,1440,1584,5820,1158,0,31,40,36,28,43,31,14,10,5,52,9999,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18887,3436,716,96,35,9999,0,438,0,4301,3,2,1382,441,1804,1,1,72,72,48,0,72,0,62,0,1440,1584,5986,1154,0,19,38,30,27,34,14,19,19,9,53,9999,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061,3436,992,96,35,9999,0,431,0,4292,2,2,1171,441,2000,1,1,73,72,48,0,72,0,49,0,1440,1584,5953,1157,0,23,43,36,26,33,14,22,23,9,53,9999,393,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
