Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
894,3716,412,99,31,9999,0,138,0,4348,3,2,1382,441,1353,0,1,1,72,0,0,32,50,0,0,0,0,1096,1189,0,18,39,36,36,48,18,14,10,10,18,9999,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,3719,412,99,31,9999,0,22,0,4348,3,2,1171,441,1353,1,1,74,72,46,0,73,0,70,0,1440,1584,1095,1136,0,14,43,43,39,28,13,14,10,5,17,9999,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894,3714,412,99,31,9999,0,4,0,4348,2,2,1171,441,1353,1,1,73,72,48,0,73,0,30,0,1440,1584,1103,1136,0,14,30,55,78,42,13,14,14,13,17,9999,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3894,3662,412,99,31,9999,0,106,0,4348,2,2,1171,441,1804,1,1,73,72,48,0,73,1,17,0,1440,1584,1130,1138,0,23,54,47,64,33,14,23,10,5,16,9999,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4894,3661,412,99,31,9999,0,207,0,4348,2,2,1171,441,1353,1,1,60,72,48,0,61,12,13,0,1440,1584,2922,1128,0,63,43,48,19,34,40,52,63,9,30,9999,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5894,3625,412,99,31,9999,0,254,0,4348,2,2,1382,441,1804,1,1,72,72,48,0,73,0,6,0,1440,1584,2919,1128,0,64,39,54,19,36,47,45,64,5,30,9999,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6894,3612,412,99,31,9999,0,235,0,4348,4,2,1478,441,1555,1,1,69,72,47,0,45,25,5,0,1440,1584,2901,1138,0,50,25,40,26,33,50,27,27,13,17,9999,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7894,3602,412,99,31,9999,0,139,0,4348,4,2,1478,441,1555,1,1,43,72,45,0,60,14,3,0,1440,1584,2927,1122,0,36,63,52,52,47,36,35,33,9,30,9999,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8895,3550,412,99,31,9999,0,338,0,4348,4,2,1478,441,1804,1,1,72,72,48,0,73,0,2,0,1440,1584,2924,1127,0,19,45,37,28,42,15,19,14,5,31,9999,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9894,3551,412,99,31,9999,0,201,0,4348,4,2,1478,441,1353,1,1,73,72,48,0,69,1,2,0,1440,1584,5627,1135,0,21,33,45,25,33,5,21,18,0,50,9999,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
