Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
890,3705,292,96,35,9999,0,4,0,4282,3,2,1382,441,1555,0,1,1,72,0,0,0,27,0,0,0,0,848,1217,0,19,43,31,38,19,10,14,19,14,16,9999,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,3708,292,96,35,9999,0,6,0,4282,3,2,1171,441,1353,1,1,72,72,46,0,47,34,47,0,1440,1584,833,1160,0,10,33,26,34,23,5,10,10,5,16,9999,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2889,3707,292,96,35,9999,0,3,0,4282,2,2,1171,441,1353,1,1,73,72,48,0,73,0,21,0,1440,1584,832,1162,0,10,30,28,31,19,0,10,10,5,16,9999,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3894,3544,292,96,35,9999,0,42,0,4314,2,2,1382,441,1804,1,1,73,72,48,0,73,0,18,0,1440,1584,832,1161,0,14,43,52,85,16,14,5,10,9,16,9999,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4891,3542,292,96,35,9999,0,130,0,4314,3,2,1382,441,1353,1,1,64,72,47,0,73,0,65,0,1440,1584,3205,1156,0,77,52,34,45,69,77,17,42,17,33,9999,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5890,3474,292,96,35,9999,0,315,0,4314,3,2,1382,441,1353,1,1,73,72,48,0,62,11,53,0,1440,1584,3223,1156,0,71,31,31,23,19,52,23,71,5,33,9999,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6890,3460,292,96,35,9999,0,132,0,4314,3,2,1478,441,1555,1,1,69,72,47,0,73,0,6,0,1440,1584,3495,1158,0,72,30,25,36,19,72,19,10,4,8,9999,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7892,3573,292,96,35,9999,0,183,0,4314,4,2,1478,441,1804,1,1,43,72,46,0,35,36,6,0,1440,1584,3190,1159,0,29,45,21,37,27,21,29,10,9,30,9999,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8889,3509,292,96,35,9999,0,163,0,4314,4,2,1478,441,1804,1,1,71,72,48,0,70,4,8,0,1440,1584,3209,1156,0,22,43,39,19,14,5,14,22,9,33,9999,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9890,3506,292,96,35,9999,0,205,0,4314,4,2,1382,441,1555,1,1,71,72,47,0,73,0,9,0,1440,1584,5927,1159,0,19,45,23,34,27,18,10,19,9,49,9999,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10890,3507,292,96,35,9999,0,228,0,4314,3,2,1382,441,1555,1,1,72,72,48,0,71,2,8,0,1440,1584,5927,1156,0,19,43,25,31,34,14,19,19,5,53,9999,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11894,3506,292,96,35,9999,0,203,0,4302,3,2,1171,441,1555,1,1,73,72,48,0,72,0,3,0,1440,1584,5932,1158,0,22,41,31,19,19,0,14,22,9,53,9999,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12891,3503,292,96,35,9999,0,183,0,4302,2,2,1171,441,1555,1,1,72,72,48,0,73,0,24,0,1440,1584,5919,1155,0,31,40,31,27,30,14,15,31,9,52,9999,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13892,3505,292,96,35,9999,0,173,0,4302,2,2,1171,441,1555,1,1,73,72,48,0,73,0,3,0,1440,1584,5945,1161,0,31,40,33,31,33,18,19,31,18,53,9999,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14890,3456,292,96,35,9999,0,275,0,4302,2,2,1382,441,1804,1,1,73,72,48,0,73,0,5,0,1440,1584,5955,1162,0,23,46,39,21,30,19,11,23,5,53,9999,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15890,3522,292,96,35,9999,0,268,0,4302,3,2,1382,441,1804,1,1,55,72,48,0,73,0,1,0,1440,1584,5937,1163,0,62,38,34,27,37,47,29,62,9,42,9999,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16890,3522,292,96,35,9999,0,399,0,4302,3,2,1382,441,1804,1,1,72,72,47,0,49,23,2,0,1440,1584,5966,1158,0,23,42,65,69,50,10,11,23,9,53,9999,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17890,3521,292,96,35,9999,0,278,0,4302,3,2,1171,441,1353,1,1,72,72,48,0,70,3,1,0,1440,1584,5954,1156,0,28,31,27,41,36,26,25,28,5,53,9999,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18890,3521,292,96,35,9999,0,203,0,4302,2,2,1171,441,1804,1,1,73,72,48,0,73,0,3,0,1440,1584,5964,1155,0,23,22,25,23,19,5,23,19,5,53,9999,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20034,3521,701,96,35,9999,0,183,0,4303,2,2,1171,441,1804,1,1,73,72,48,0,72,0,2,0,1440,1584,5960,1160,0,23,39,11,23,10,10,23,22,9,53,9999,397,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20891,3521,701,96,35,9999,0,317,0,4303,2,2,1171,441,1804,1,1,72,72,48,0,73,0,2,0,1440,1584,5948,1158,0,28,31,42,36,17,11,28,21,14,52,9999,399,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
