Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
897,3804,300,94,36,9999,0,0,0,4291,3,2,1382,441,1353,1,1,73,72,46,0,10,63,15,0,1440,1584,890,1249,0,10,39,33,39,14,5,0,10,9,16,9999,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,3802,300,94,36,9999,0,7,0,4291,3,2,1171,441,1353,1,1,73,72,48,0,73,0,20,0,1440,1584,885,1192,0,22,54,56,47,45,22,15,11,19,16,9999,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2898,3801,300,94,36,9999,0,56,0,4291,2,2,1171,441,1353,1,1,73,72,48,0,73,0,16,0,1440,1584,890,1193,0,10,39,47,85,19,9,5,10,5,16,9999,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3898,3630,300,94,36,9999,0,21,0,4291,2,2,1382,441,1555,1,1,64,72,47,0,73,0,42,0,1440,1584,1034,1192,0,42,54,43,75,43,25,33,42,9,16,9999,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4898,3628,300,94,36,9999,0,180,0,4291,3,2,1382,441,1555,1,1,73,72,48,0,63,10,100,0,1440,1584,3474,1183,0,71,44,39,50,45,71,60,36,14,35,9999,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5897,3562,300,94,36,9999,0,136,0,4291,4,2,1478,441,1353,1,1,70,72,47,0,73,0,59,0,1440,1584,3776,1189,0,28,38,26,31,27,25,15,28,5,37,9999,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6898,3551,300,94,36,9999,0,88,0,4291,4,2,1478,441,1555,1,1,45,72,47,0,62,9,50,0,1440,1584,3385,1188,0,71,39,46,19,10,21,71,40,9,34,9999,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7898,3541,300,94,36,9999,0,342,0,4272,4,2,1478,441,1555,1,1,71,72,48,0,49,25,13,0,1440,1584,3374,1180,0,33,50,50,30,39,33,14,19,14,34,9999,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8898,3537,300,94,36,9999,0,217,0,4272,4,2,1478,441,1804,1,1,71,72,47,0,69,3,4,0,1440,1584,3638,1184,0,45,38,41,28,38,38,36,45,31,34,9999,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9898,3534,300,94,36,9999,0,215,0,4272,3,2,1382,441,1353,1,1,73,72,48,0,70,2,46,0,1440,1584,5437,1190,0,21,42,39,34,37,10,14,21,9,49,9999,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10899,3533,300,94,36,9999,0,283,0,4272,3,2,1382,441,1555,1,1,73,72,48,0,73,0,22,0,1440,1584,5243,1190,0,33,54,44,55,52,33,31,31,5,48,9999,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
